id,species,y,dist
376,Postelectrotermes tongyaii,546,Distribution: Oriental Region—Thailand.
377,Postelectrotermes zabuliensis,173,Distribution: Palaearctic Region—Iran.
379,Procryptotermes dhari,516,Distribution: Oriental Region—India: Tamil Nadu.
380,Procryptotermes falcifer,534,Distribution: Ethiopian Region—Mauritius; Réunion.
381,Procryptotermes fryeri,151,Distribution: Ethiopian Region—Seychelles.
381,Procryptotermes hesperus,443,Distribution: Neotropical Region—Bahamas; Cuba; Mexico.
381,Procryptotermes hunsurensis,593,Distribution: Oriental Region—India: Karnataka.
382,Procryptotermes krishnai,184,Distribution: Papuan Region—New Caledonia.
382,Procryptotermes leewardensis,488,Distribution: Neotropical Region—Anguilla; Guadeloupe; Montserrat; St.
383,Procryptotermes malekulae,80,Distribution: Papuan Region—Vanuatu [New Hebrides].
383,Procryptotermes rapae,164,Distribution: Papuan Region—French Polynesia: Rapa.
383,Procryptotermes speiseri,370,Distribution: Papuan Region—Vanuatu (New Hebrides).
383,Procryptotermes valeriae,584,Distribution: Oriental Region—India: Tamil Nadu.
385,†Proelectrotermes fodinae,566,Distribution: Nearctic Region—USA: Colorado.
390,Proneotermes perezi,80,Distribution: Neotropical Region—Costa Rica.
393,Rugitermes athertoni,80,Distribution: Papuan Region—French Polynesia: Marquesas Islands; Society Islands; Tahiti.
393,Rugitermes bicolor,344,Distribution: Neotropical Region—Guyana.
394,Rugitermes flavicinctus,80,Distribution: Neotropical Region—Guyana.
394,Rugitermes kirbyi,228,Distribution: Neotropical Region—Costa Rica; Panama.
394,Rugitermes laticollis,420,Distribution: Neotropical Region—Bolivia.
394,Rugitermes magninotus,547,Distribution: Neotropical Region—Guyana.
395,Rugitermes niger,151,Distribution: Neotropical Region—Brazil: Paraná.
395,Rugitermes nodulosus,321,Distribution: Neotropical Region—Brazil: Minas Gerais.
396,Rugitermes occidentalis,80,"Distribution: Neotropical Region—Argentina: Jujuy, Mendoza, Salta, Tucumán; Brazil: Rio de  Janeiro."
396,Rugitermes panamae,394,Distribution: Neotropical Region—Panama.
398,Rugitermes unicolor,80,Distribution: Neotropical Region—Guatemala.
398,Tauritermes taurocephalus,484,"Distribution: Neotropical Region—Argentina: Chaco, Corrientes, Formosa, Salta; Brazil: Mato  Grosso."
399,Tauritermes triceromegas,295,"Distribution: Neotropical Region—Argentina: Córdoba, Corrientes, Formosa, Salta."
399,Tauritermes vitulus,586,Distribution: Neotropical Region—Brazil: Santa Caterina.
